dow;tm;open;high;low;close;
Wed;090000;1.10335;1.10225;1.10341;1.10249;
Wed;100000;1.10250;1.10194;1.10270;1.10194;
Wed;110000;1.10194;1.10064;1.10213;1.10069;
Wed;120000;1.10071;1.09960;1.10105;1.09965;
Wed;130000;1.09966;1.09961;1.10062;1.10001;
Wed;140000;1.10002;1.09930;1.10024;1.09946;
Wed;150000;1.09945;1.09846;1.09990;1.09969;
Wed;160000;1.09969;1.09900;1.10011;1.10000;
Wed;170000;1.09999;1.09956;1.10076;1.10066;
Wed;180000;1.10065;1.10039;1.10110;1.10075;
Wed;190000;1.10075;1.10047;1.10115;1.10065;
Wed;200000;1.10064;1.10061;1.10104;1.10098;
Wed;210000;1.10097;1.10084;1.10132;1.10096;
Wed;220000;1.10093;1.10075;1.10093;1.10081;
Wed;230000;1.10083;1.10068;1.10096;1.10096;
Thu;000000;1.10096;1.10080;1.10133;1.10128;
Thu;010000;1.10131;1.10073;1.10136;1.10100;
Thu;020000;1.10100;1.10100;1.10145;1.10129;
Thu;030000;1.10129;1.10081;1.10129;1.10090;
Thu;040000;1.10090;1.10090;1.10129;1.10123;
Thu;050000;1.10123;1.10113;1.10141;1.10133;
Thu;060000;1.10132;1.10114;1.10142;1.10128;
Thu;070000;1.10128;1.10049;1.10140;1.10136;
Thu;080000;1.10136;1.10110;1.10183;1.10165;
Thu;090000;1.10164;1.10150;1.10317;1.10264;
Thu;100000;1.10265;1.10246;1.10307;1.10288;
Thu;110000;1.10289;1.10190;1.10309;1.10232;
Thu;120000;1.10233;1.09603;1.10682;1.09653;
Thu;130000;1.09651;1.09264;1.09728;1.09451;
Thu;140000;1.09453;1.09396;1.10458;1.10352;
Thu;150000;1.10351;1.10280;1.10684;1.10288;
Thu;160000;1.10289;1.10254;1.10786;1.10735;
Thu;170000;1.10728;1.10611;1.10737;1.10672;
Thu;180000;1.10671;1.10653;1.10863;1.10664;
Thu;190000;1.10663;1.10630;1.10746;1.10731;
Thu;200000;1.10732;1.10617;1.10732;1.10642;
Thu;210000;1.10643;1.10609;1.10645;1.10627;
Thu;220000;1.10635;1.10619;1.10663;1.10627;
Thu;230000;1.10627;1.10574;1.10646;1.10574;
Fri;000000;1.10574;1.10547;1.10578;1.10557;
Fri;010000;1.10556;1.10556;1.10642;1.10635;
Fri;020000;1.10635;1.10622;1.10656;1.10640;
Fri;030000;1.10639;1.10632;1.10657;1.10650;
Fri;040000;1.10652;1.10649;1.10685;1.10684;
Fri;050000;1.10683;1.10662;1.10726;1.10687;
Fri;060000;1.10686;1.10685;1.10724;1.10703;
Fri;070000;1.10704;1.10672;1.10960;1.10954;
Fri;080000;1.10951;1.10913;1.11089;1.10932;
Fri;090000;1.10933;1.10767;1.10970;1.10913;
Fri;100000;1.10914;1.10891;1.11036;1.11000;
Fri;110000;1.11001;1.10898;1.11054;1.10908;
Fri;120000;1.10907;1.10906;1.11059;1.11022;
Fri;130000;1.11021;1.10785;1.11042;1.10870;
Fri;140000;1.10869;1.10649;1.10876;1.10679;
Fri;150000;1.10680;1.10603;1.10850;1.10796;
Fri;160000;1.10798;1.10688;1.10847;1.10734;
Fri;170000;1.10732;1.10661;1.10758;1.10753;
Fri;180000;1.10752;1.10700;1.10791;1.10756;
Fri;190000;1.10757;1.10662;1.10766;1.10665;
Fri;200000;1.10668;1.10667;1.10764;1.10762;
Fri;210000;1.10760;1.10652;1.10786;1.10652;
